"Payment from Specific Country","Betaling van specifieke landen"
"Auto invoice","Automatisch factuur genereren"
"Payment from Applicable Countries","Betaling van toepasbare landen"
"Payment fee","Betalingstoeslag"
"Payment fee tax class","Betalingstoeslag BTW groep"
"Including/Excluding Tax","Inclusief/Exclusief BTW"
"Payment fee label", "Betalingstoeslag label"
"The tax class to use to calculate the payment fee tax", "De gebruikte BTW groep voor een betalingstoeslag"
"Is the entered payment fee value including or exluding tax", "Is de ingevoerde betalingstoeslag inclusief of exclusief BTW"
"Payment fee label to show", "Betalingstoeslag label dat wordt getoond"
"Use General settings", "Gebruik standaard instellingen"
"Only for Klarna Invoice and Klarna Account.", "Alleen voor Klarna Factuur en Klarna Account"
"The Merchant ID form Sisow. You can find this in your Sisow profile.", "Het Merchant ID van Sisow. Deze kan worden gevonden in uw Sisow profiel."
"The Merchant Key form Sisow. You can find this in your Sisow profile.", "De Merchant Key van Sisow. Deze kan worden gevonden in uw Sisow profiel."
"You will receive an e-mail with information on how to complete your payment.", "U ontvangt een e-mail met daarin informatie hoe u uw betaling kunt voltooien."
"The processing is outsourced to Sisow B.V.", "De verwerking hiervan is uitbesteed aan Sisow B.V."
"You have chosen to pay in advance by bank transfer.", "U heeft ervoor gekozen om uw bestelling per bank/giro over te maken."
"Salutation", "Geslacht"
"Male", "De heer"
"Female", "Mevrouw"
"Telephone Number", "Telefoon nummer"
"Date of birth", "Geboortedatum"
"Klarna Invoice Terms and Conditions", "Klarna Factuur voorwaarden"
"Payment within 14 days", "Betaling binnen 14 dagen"
"The extra costs are", "De extra kosten bedragen"
"Read more", "Lees meer"
"Choose your bank", "Kies uw bank"
"and send mail", "en verstuur per mail"
"No communication", "geen communicatie mogelijk"
"created", "aangemaakt"
"Include payment link", "Inclusief betaallink"
"Days overboeking is valid", "Aantal dagen geldig"
"Only for internal use, the customer receives a pre-printed giro credit slip in his/her mail.", "Alleen voor intern gebruik, bij het plaatsen van een backorder ontvangt uw klant een digitale acceptgiro."
"Days Ebill is valid", "Aantal dagen geldig"
"Description on bank statement", "Omschrijving op bankafschrift"
"Impossible to issue a refund transaction because the transactionId can't be loaded.", "Retour kan niet worden uitgevoerd, TransactieID kan niet worden geladen."
"Klarna Invoice created", "Klarna Factuur aangemaakt"
"Klarna Invoice can't be created", "De Klarna factuur kan niet worden aangemaakt"
"Prefix", "Voorvoegsel"
"Your account isn't live for live transactions", "U account is nog niet actief voor live transacties"
"Dutch Manual", "Nederlandstalige handleiding"
"English Manual", "Engelstalige handleiding"
"FAQ", "Veelgestelde vragen"
"After order confirmation", "Na bevestigen order"
"After notification, including cancelled order", "Na notificatie, inc mislukte betalingen"
"After notification, excluding cancelled order", "Na notificatie, ex mislukte betalingen"
"Display paymentlogo", "Toon logo"
"Display payment method logo on checkout page.", "Toon logo van de betaalmogelijkheid in de checkout."
"Redirect URL after a success transaction, leave empty to use default.","Redirect URL na een success transactie, laat leeg om de standaard URL te gebruiken."
"Redirect URL after a failed transaction, leave empty to use default.","Redirect URL na een gefaalde transactie, laat leeg om de standaard URL te gebruiken."
"Coc number","KvK nummer"
"Only required for B2B transactions","Alleen veplicht voor B2B transacties"